Cust_No,Target,Nation,Birth_Place,Gender,Age,Marriage_State,Highest Education,House_State,Work_Years,Title,Duty,Industry,Year_Income,Couple_Year_Income,L12_Month_Pay_Amount,Couple_L12_Month_Pay_Amount,Ast_Curr_Bal,Std_Cred_Limit,Loan_Curr_Bal,ZX_Max_Account_Number,ZX_Max_Link_Banks,ZX_Max_Overdue_Account,ZX_Link_Max_Overdue_Amount,ZX_Total_Overdu_Months,ZX_Max_Overdue_Duration,ZX_Max_Credits,ZX_Max_Credit_Banks,ZX_Max_Overdue_Credits,ZX_Credit_Max_Overdu_Amount,ZX_Credit_Total_Overdue_Months,ZX_Credit_Max_Overdue_Duration
53,0,,330621,1,38,2,21,,0,,1,,300000,250000,0,0,0,20000,0,9,4,3,7151,28,3,0,0,0,0,0,0
54,0,1,330621,1,49,20,71,1,0,0,9,51,300000,100000,0,0,563.41,10000,200000,4,3,0,0,0,0,1,1,0,0,0,0
55,0,1,360121,1,53,20,21,1,0,9,1,,500000,100000,0,0,1496.44,15000,500000,5,3,0,0,0,0,1,1,0,0,0,0
56,0,1,330621,1,34,20,71,1,68621,0,0,51,250000,2,0,0,119.99,20000,450000,8,6,5,26007,12,2,4,3,1,10570,6,3
57,0,1,330621,1,45,99,71,1,0,0,9,49,800000,200000,0,0,18.38,10000,800000,4,3,3,34255,44,7,1,1,1,6567,0,0
58,0,1,330621,1,44,20,61,1,68621,0,0,52,100000,30000,0,0,433.07,20000,250000,2,2,0,0,0,0,1,1,0,0,0,0
59,0,1,330621,1,37,20,61,1,68625,9,1,,100000,160000,0,0,1.95,10000,0,7,5,2,4504,7,3,1,1,0,0,0,0
63,0,1,330102,0,41,99,9,1,0,,0,,50000,3,0,0,254.83,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,1,330621,1,50,20,31,1,0,9,1,51,500000,120000,0,0,2397.12,20000,1600000,5,3,1,200,2,1,3,2,0,0,0,0
66,0,1,330621,0,43,20,9,,0,,2,,120000,250000,0,0,208.42,10000,0,8,5,4,2355,11,3,1,1,1,0,2,1
67,0,1,330621,1,51,20,71,1,68627,0,,18,250000,80000,0,0,3171.91,10000,0,3,2,2,1936,18,3,1,1,0,0,0,0
68,0,1,330621,1,38,20,61,1,0,0,0,51,200000,300000,0,0,422.2,20000,300000,7,4,1,0,2,2,3,3,0,0,0,0
70,0,1,330621,1,35,20,21,1,68626,3,0,,85000,50000,0,0,5633.44,20000,300000,3,3,3,913,4,1,1,1,0,0,0,0
71,1,1,330621,1,56,20,71,1,0,9,1,51,300000,40000,0,0,1120.24,15000,800000,6,5,4,29692,32,6,4,3,4,62898,64,7
72,0,1,330621,0,46,20,21,1,68629,9,2,51,200000,200000,0,0,0.33,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,1,220881,0,51,20,31,8,0,9,9,68,80000,100000,0,0,39002.5,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,,330621,0,34,,,,0,,0,,600000,100000,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,1,330683,0,33,20,90,1,0,9,0,46,100000,100000,0,0,65.65,20000,0,21,13,5,3259,7,1,23,6,0,0,0,0
77,0,90,330621,1,45,20,71,1,0,,0,1,100000,100000,0,0,183.53,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,1,330621,1,39,20,61,1,0,,2,50,200000,100000,0,0,903.22,10000,0,1,1,0,0,0,0,0,0,0,0,0,0
79,0,,330602,0,34,,,,0,,0,,60000,100000,0,0,0.4,13000,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,,330621,1,33,,,,0,,,,0,100000,0,0,0.09,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,1,330621,1,27,99,9,6,0,,,,150000,100000,0,0,1.75,10000,0,0,0,0,0,0,0,1,1,0,0,0,0
82,0,,330621,1,40,,,,0,,2,,150000,100000,0,0,56.84,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,1,330621,1,25,10,61,3,0,9,9,51,100000,100000,0,0,67.28,10000,18470.18,4,4,0,0,0,0,2,2,0,0,0,0
84,0,,330621,1,34,,,,0,,,,40000,100000,0,0,46.91,20000,0,6,6,0,0,0,0,1,1,0,0,0,0
85,0,1,330621,1,24,10,41,5,0,9,0,84,80000,100000,0,0,1041.5,10000,9908.56,3,2,0,0,0,0,2,2,0,0,0,0
86,0,1,330621,1,65,99,90,1,0,,,,6,100000,38612.4,0,8825.59,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,,330621,1,69,,,,0,,,,80000,100000,64.8,0,49.8,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,,362323,1,41,,,,0,,9,,60000,100000,0,0,5.56,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,90,330621,0,30,,90,,0,,0,,50000,100000,22761.4,0,1911.1,20000,0,6,4,1,0,1,1,0,0,0,0,0,0
90,0,1,330621,1,37,40,21,8,68626,3,9,,160000,100000,0,0,1111.83,10000,100000,19,12,4,5222,5,1,6,5,0,0,0,0
91,0,1,330621,0,38,20,21,1,0,,0,17,120000,100000,78256,0,710382.27,20000,0,8,6,2,730,3,1,1,1,1,0,2,1
92,0,,330621,1,26,,,,0,,,,40000,100000,26905.21,0,2883.29,10000,0,3,2,0,0,0,0,0,0,0,0,0,0
93,0,1,330621,1,46,20,71,,0,,0,,50000,100000,0,0,79.85,15000,0,9,7,1,334,4,1,0,0,0,0,0,0
94,0,90,330621,1,31,99,9,,0,,0,,50000,100000,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,1,330621,1,34,10,21,1,0,9,9,52,72000,100000,0,0,27879.1,10000,0,3,3,1,0,1,1,1,1,0,0,0,0
96,0,90,339011,1,44,99,71,1,0,,0,,400000,100000,0,0,48.97,15000,0,12,8,2,437,2,1,0,0,0,0,0,0
97,0,1,330621,1,46,20,71,1,0,9,9,51,150000,100000,0,0,277.61,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,,330621,0,52,,,,0,,2,,100000,100000,300,0,4212.14,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,1,330621,0,37,20,21,1,68626,9,0,1,70000,100000,0,0,2197844.03,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,,330621,0,31,,,,0,,0,,60000,100000,0,0,0.03,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,,330782,1,32,,,,0,,,,90000,100000,0,0,0,20000,0,13,10,10,4362,39,3,1,1,0,0,0,0
102,0,1,339005,1,25,10,61,1,0,9,2,,200000,100000,0,0,3095.54,15000,5315.61,4,3,0,0,0,0,1,1,0,0,0,0
103,0,,432322,0,53,,,,0,,,,0,100000,0,0,69.54,20000,0,25,11,3,1068,4,1,1,1,0,0,0,0
104,0,,330621,0,27,,,,0,,,,60000,100000,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,1,342201,1,34,99,90,8,0,9,9,22,600000,100000,0,0,0,10000,0,15,9,2,2086,5,1,4,3,1,4747,1,1
106,0,1,330621,1,31,99,61,1,0,,9,,150000,100000,0,0,106.57,10000,0,16,10,7,10814,13,1,9,2,1,5000,2,1
107,0,,330602,1,25,,,,0,,0,,60000,100000,0,0,5.79,8000,0,0,0,0,0,0,0,0,0,0,0,0,0
