Cust_No,Target,Nation,Birth_Place,Gender,Age,Marriage_State,Highest Education,House_State,Work_Years,Title,Duty,Industry,Year_Income,Couple_Year_Income,L12_Month_Pay_Amount,Couple_L12_Month_Pay_Amount,Ast_Curr_Bal,Std_Cred_Limit,Loan_Curr_Bal,ZX_Max_Account_Number,ZX_Max_Link_Banks,ZX_Max_Overdue_Account,ZX_Link_Max_Overdue_Amount,ZX_Total_Overdu_Months,ZX_Max_Overdue_Duration,ZX_Max_Credits,ZX_Max_Credit_Banks,ZX_Max_Overdue_Credits,ZX_Credit_Max_Overdu_Amount,ZX_Credit_Total_Overdue_Months,ZX_Credit_Max_Overdue_Duration
693,0,1,330621,1,32,20,61,1,0,,0,,50000,100000,28041.7,0,5833.97,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
694,0,1,330621,1,23,10,21,1,0,9,9,87,100000,100000,0,0,6.84,8000,0,11,3,0,0,0,0,1,1,0,0,0,0
695,0,1,330621,1,27,99,90,1,0,,9,,160000,100000,0,0,30.58,6000,0,4,3,1,555,2,1,0,0,0,0,0,0
696,0,1,330621,1,36,99,9,1,0,,0,,50000,100000,0,0,2031.58,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
697,0,1,330621,1,33,20,41,1,0,,1,,150000,100000,0,0,46.77,20000,0,10,5,6,22953,22,4,2,1,2,4414,2,1
698,0,,330621,1,35,,,,0,,,,80000,100000,135586.89,0,160.89,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
699,0,,330621,0,28,,,,0,,2,,100000,100000,0,0,0,14000,0,0,0,0,0,0,0,0,0,0,0,0,0
700,0,1,330621,1,24,10,61,1,0,9,9,17,60000,100000,9866,0,4.12,3000,63981.51,12,7,7,8045,13,4,13,7,11,10992,10,6
701,0,90,330621,1,34,20,71,1,0,,0,1,50000,100000,0,0,104.73,10000,0,12,7,0,0,0,0,0,0,0,0,0,0
702,0,,330623,1,40,,,,0,,0,,80000,100000,0,0,74.38,10000,0,4,4,1,0,1,1,0,0,0,0,0,0
703,0,1,330621,1,46,20,71,1,0,0,9,1,200000,100000,0,0,1239.76,20000,0,3,2,0,0,0,0,0,0,0,0,0,0
704,0,,330621,1,26,,,,0,,2,,300000,100000,0,0,866.97,10000,0,1,1,0,0,0,0,0,0,0,0,0,0
705,0,1,330621,0,25,99,90,1,0,,0,,60000,100000,0,0,2.18,10000,0,4,3,0,0,0,0,0,0,0,0,0,0
706,0,1,500233,1,26,99,90,8,0,9,0,,90000,100000,0,0,32.32,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
707,0,,339005,1,23,,,,0,,2,,50000,100000,0,0,760.63,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
708,0,1,330621,1,53,20,81,,0,,2,,120000,100000,0,0,132.24,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
709,0,,330621,1,26,,,,0,,2,,40000,100000,57858.86,0,31554.71,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
710,1,1,330621,1,28,99,9,1,0,,2,,150000,100000,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
711,0,1,411324,1,37,40,21,1,0,9,1,,1000000,100000,0,0,7148.09,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
712,0,,330621,1,32,,,,0,,,,0,100000,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
713,0,,330621,1,26,,,,0,,1,,150000,100000,0,0,37.24,5000,0,1,1,0,0,0,0,0,0,0,0,0,0
714,0,,330621,1,55,2,2,,0,,2,,150000,100000,32338.99,0,170662.27,10000,0,1,1,0,0,0,0,0,0,0,0,0,0
715,0,,330621,1,40,,,,0,,,,0,100000,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
716,0,90,330621,0,43,99,9,1,0,,0,17,80000,100000,0,0,63629.33,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
717,0,1,330602,1,39,20,41,1,0,9,1,,180000,100000,0,0,48.05,10000,0,15,10,10,26005,10,1,3,3,1,0,0,0
718,0,1,330621,0,55,20,21,1,0,9,0,52,500000,100000,21206,0,19541.09,20000,0,7,4,1,0,1,1,1,1,0,0,0,0
719,0,,330621,1,30,,,,0,,,,0,100000,29876.7,0,1.91,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
720,0,,330621,1,40,,,,0,,1,,50000,100000,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
721,0,,339005,1,33,,,,0,,2,,100000,100000,0,0,0,10000,0,5,3,1,0,2,1,1,1,0,0,0,0
722,0,,330621,0,23,,,,0,,,,60000,100000,25700.1,0,55.13,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
723,0,,330621,1,27,,,,0,,0,,100000,100000,0,0,66.18,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
724,1,90,330621,1,43,20,71,1,0,,0,43,100000,100000,0,0,107.9,8000,0,0,0,0,0,0,0,0,0,0,0,0,0
725,0,1,330621,1,36,99,61,1,0,9,9,51,100000,100000,1500,0,78825.67,20000,0,7,5,0,0,0,0,1,1,0,0,0,0
726,0,,330621,0,25,,,,0,,0,,40000,100000,0,0,32957.02,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
727,0,1,330621,1,46,20,61,,0,,,,100000,100000,0,0,288.22,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
728,0,,330621,1,27,,,,0,,0,,60000,100000,0,0,0,8000,0,1,1,0,0,0,0,0,0,0,0,0,0
729,0,,330621,1,24,,,,0,,0,,50000,100000,27540,0,3.57,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
730,0,90,330624,0,48,20,71,1,0,,2,52,100000,100000,0,0,95.88,25000,0,5,4,4,7109,9,1,0,0,0,0,0,0
731,0,,330621,1,58,,,,0,,1,,100000,100000,0,0,101493.9,20000,0,7,4,1,0,1,1,0,0,0,0,0,0
732,0,90,330329,0,41,99,9,,0,,9,,100000,100000,36617,0,2216.53,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
733,0,,330602,1,28,,,,0,,1,,1000000,100000,0,0,23608.21,50000,0,0,0,0,0,0,0,0,0,0,0,0,0
734,0,10,222401,1,45,20,31,1,0,9,9,51,500000,100000,0,0,56.07,20000,0,2,1,1,5120,4,1,1,1,0,0,0,0
735,0,,330621,1,35,,,,0,,2,,110000,100000,0,0,98.1,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
736,0,1,330621,1,50,20,71,1,0,0,0,,1000000,100000,0,0,0,200000,0,14,6,7,1887,3,1,0,0,0,0,0,0
737,0,1,330621,0,31,10,61,1,0,9,9,,40000,100000,40970,0,2920.9,8000,0,6,4,1,0,3,1,0,0,0,0,0,0
738,0,,330621,1,29,,,,0,,0,,60000,100000,0,0,249.67,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
739,0,1,330602,1,26,10,47,1,0,9,0,,40000,100000,0,0,31.52,5000,552614.29,0,0,0,0,0,0,0,0,0,0,0,0
740,0,,330621,0,41,,,,0,,0,,25000,100000,0,0,27.62,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
741,0,,330621,0,22,,,,0,,0,,30000,100000,15720.43,0,866.4,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
742,0,,330782,1,27,,,,0,,0,,47000,100000,0,0,0,8000,0,9,6,0,0,0,0,0,0,0,0,0,0
743,1,1,330725,1,36,20,31,1,0,0,1,51,500000,100000,0,0,27.67,40000,0,0,0,0,0,0,0,0,0,0,0,0,0
744,0,1,330121,1,49,20,61,2,0,9,0,51,800000,100000,0,0,21.61,30000,0,6,4,1,5,1,1,1,1,0,0,0,0
745,0,1,330621,1,25,99,9,1,0,,0,,100000,100000,0,0,15410.74,5000,0,1,1,0,0,0,0,0,0,0,0,0,0
746,0,,330621,1,50,,,,0,,1,,350000,100000,0,0,33571.58,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
747,0,1,330621,0,24,99,9,6,0,,0,82,100000,100000,0,0,0,10000,0,9,6,3,0,4,1,0,0,0,0,0,0
748,0,,330621,0,34,,,,0,,1,,600000,100000,0,0,49.09,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
749,0,1,330621,1,26,10,41,1,0,,9,,80000,100000,0,0,20.39,8000,0,2,1,0,0,0,0,0,0,0,0,0,0
750,0,,330621,0,55,,,,0,,0,,70000,100000,0,0,0,12000,0,14,4,0,0,0,0,0,0,0,0,0,0
751,0,,330621,0,27,,,,0,,0,,30000,100000,0,0,4.04,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
752,0,,330621,1,36,,,,0,,,,0,100000,0,0,39.15,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
753,0,1,350322,1,50,20,31,1,0,9,9,51,300000,100000,0,0,4648.95,30000,0,3,2,0,0,0,0,3,3,0,0,0,0
754,0,1,330621,0,29,10,41,,68623,3,0,,35000,100000,0,0,23585.37,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
755,0,1,330621,1,28,10,61,,0,,1,,200000,100000,0,0,0.22,15000,0,0,0,0,0,0,0,0,0,0,0,0,0
756,0,90,330602,1,44,20,61,1,0,9,9,,80000,100000,0,0,164.88,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
757,0,,330621,0,28,,,,0,,0,,100000,100000,0,0,1624.79,5000,0,2,2,0,0,0,0,0,0,0,0,0,0
758,0,1,330621,1,43,20,61,1,0,9,9,51,500000,100000,0,0,932.09,20000,0,1,1,0,0,0,0,0,0,0,0,0,0
759,0,,330621,1,31,,,,0,,,,0,100000,0,0,0,12000,0,7,5,1,19,1,1,0,0,0,0,0,0
760,0,1,330621,1,27,99,9,1,0,,0,,80000,100000,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0
761,0,1,330621,0,27,20,90,1,0,,,1,100000,100000,0,0,505121.08,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
762,0,,330621,0,34,,,,0,,0,,40000,100000,36298.6,0,6.33,5000,0,3,3,0,0,0,0,0,0,0,0,0,0
763,0,,330621,0,39,,,,0,,0,,80000,100000,0,0,54.87,15000,0,18,8,0,0,0,0,0,0,0,0,0,0
764,0,1,422823,0,38,99,90,1,0,,9,,500000,100000,0,0,224374.92,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
765,0,1,330621,1,50,99,9,,0,,2,,100000,100000,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
766,0,1,330621,1,28,99,21,5,0,9,0,81,90000,100000,0,0,0.3,6000,26614.16,4,3,0,0,0,0,2,2,0,0,0,0
767,0,,412822,0,27,,,,0,,0,,50000,100000,0,0,20.91,2000,0,4,2,0,0,0,0,10,2,0,0,0,0
768,0,1,330621,0,28,99,90,1,0,,0,,70000,100000,0,0,5147.47,5000,0,1,1,0,0,0,0,0,0,0,0,0,0
769,0,1,330621,1,40,20,71,1,0,9,9,52,300000,100000,0,0,486.87,20000,400000,13,8,2,2827,2,1,2,2,0,0,0,0
770,0,1,330621,0,31,99,90,1,0,,0,,40000,100000,44418,0,2.31,10000,0,2,1,2,4164,9,2,0,0,0,0,0,0
771,0,1,330621,0,31,99,90,1,0,,0,,50000,100000,40622.16,0,23193.96,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
772,0,,330621,1,31,,,,0,,0,,100000,100000,0,0,1091.27,8000,0,3,2,0,0,0,0,0,0,0,0,0,0
773,0,1,330621,1,33,20,41,,0,,0,,60000,100000,0,0,12.01,15000,0,6,3,3,1363,8,1,0,0,0,0,0,0
774,0,1,330602,0,33,20,21,1,0,9,0,52,50000,100000,0,0,3.14,20000,0,18,10,1,0,2,1,1,1,0,0,0,0
775,0,1,341002,0,41,20,21,1,0,9,9,,500000,100000,0,0,170.03,20000,0,7,4,0,0,0,0,6,2,0,0,0,0
776,0,,330621,1,23,,,,0,,0,,50000,100000,0,0,80.92,5000,0,1,1,0,0,0,0,0,0,0,0,0,0
777,0,1,330621,1,40,20,61,1,0,,0,,50000,100000,28107.2,0,3744.95,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
778,0,,330621,1,42,,,,0,,2,,200000,100000,0,0,2030.77,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
779,0,1,330621,1,35,10,61,1,68628,9,0,46,50000,100000,0,0,890.07,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
780,0,,330621,0,32,,,,0,,,,50000,100000,0,0,0,10000,0,13,8,1,30,1,1,1,1,0,0,0,0
781,0,,330621,1,43,,,,0,,,,80000,100000,0,0,199.06,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
782,0,,330602,1,28,,,,0,,2,,200000,100000,0,0,0.31,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
783,0,,330621,1,28,,,,0,,,,80000,100000,0,0,150007.18,10000,0,1,1,0,0,0,0,0,0,0,0,0,0
784,0,,340821,1,41,,,,0,,9,,100000,100000,0,0,101093.04,3000,0,4,3,0,0,0,0,1,1,1,967,1,1
785,0,,330621,0,27,,,,0,9,0,,150000,100000,0,0,0.1,20000,0,4,3,0,0,0,0,1,1,0,0,0,0
786,0,1,330621,0,30,99,9,1,0,,0,,50000,100000,0,0,2672.74,1000,0,0,0,0,0,0,0,0,0,0,0,0,0
787,0,1,330621,1,41,99,47,1,0,9,1,,1500000,100000,0,0,53.5,20000,0,6,4,4,36062,23,2,0,0,1,3529,7,1
788,0,,330621,1,24,,,,0,,9,,80000,100000,0,0,0.56,6000,0,0,0,0,0,0,0,0,0,0,0,0,0
789,0,1,330621,0,27,99,90,1,0,,0,,30000,100000,0,0,0.01,3000,0,6,5,4,862,11,3,1,1,0,0,0,0
790,0,1,330622,0,44,20,61,1,0,0,1,18,200000,100000,0,0,175.56,20000,0,5,4,1,453,1,1,0,0,0,0,0,0
791,0,1,330621,1,43,20,71,,0,,2,,200000,100000,0,0,0,15000,0,8,6,0,0,0,0,0,0,0,0,0,0
792,0,1,330725,1,43,20,61,1,0,9,1,33,300000,100000,0,0,125.08,20000,0,8,5,5,6733,23,2,9,1,0,0,0,0
793,0,90,330621,1,25,10,71,1,0,,,1,10000,100000,0,0,0.03,15000,0,0,0,0,0,0,0,0,0,0,0,0,0
794,0,,510724,1,33,,,,0,,9,,180000,100000,0,0,1474.11,20000,0,14,7,1,497,2,1,2,2,0,0,0,0
795,0,,342901,1,31,,,,0,,0,,200000,100000,0,0,1.11,2000,0,4,3,0,0,0,0,2,1,0,0,0,0
796,0,90,330621,1,40,20,41,1,0,,0,,60000,100000,0,0,1780.7,10000,132360.55,4,4,0,0,0,0,1,1,0,0,0,0
797,0,1,330621,1,38,20,71,8,0,9,9,17,100000,100000,0,0,0,2000,0,4,4,3,5084,9,1,0,0,0,0,0,0
798,0,1,330621,0,36,20,31,,68628,,1,,200000,100000,0,0,13.36,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
799,0,1,330621,1,25,99,90,1,0,,0,,100000,100000,0,0,0,10000,0,1,1,0,0,0,0,0,0,0,0,0,0
800,0,,330621,0,31,,,,0,,0,,50000,100000,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
801,0,,330621,1,24,,,,0,,0,,50000,100000,0,0,0.03,8000,0,4,3,0,0,0,0,0,0,0,0,0,0
802,0,1,330621,0,39,99,90,1,0,,0,,80000,100000,40478,0,668831.1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
803,0,,330624,0,36,,,,0,,,,0,100000,0,0,0,20000,0,4,3,0,0,0,0,0,0,0,0,0,0
804,0,,330621,0,29,,,,0,,2,,50000,100000,0,0,0.99,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
805,0,,330621,1,22,,,,0,,0,,50000,100000,0,0,0,3000,0,1,1,1,501,1,1,0,0,0,0,0,0
806,0,,330102,1,42,,,,0,,,,100000,100000,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
807,0,,330621,1,24,,,,0,,,,0,100000,0.1,0,38.86,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
808,0,1,330621,0,28,99,90,1,0,,,,0,100000,32922.8,0,61806.68,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
809,0,,330621,0,28,,,,0,,2,,150000,100000,0,0,666.99,15000,0,9,6,0,0,0,0,0,0,0,0,0,0
810,0,1,330602,1,29,99,90,1,0,9,9,51,150000,100000,0,0,0,25000,0,16,10,2,5300,3,1,7,5,0,0,0,0
811,0,1,330621,1,53,20,31,1,0,9,9,51,120000,100000,0,0,6728.07,50000,0,1,1,1,240,3,1,0,0,0,0,0,0
812,0,1,330602,1,34,10,21,1,0,2,0,,150000,100000,0,0,19.23,20000,500000,28,12,0,0,0,0,3,2,1,0,2,1
813,0,,330602,1,25,,,,0,,1,,150000,100000,0,0,0.03,10000,0,1,1,0,0,0,0,1,1,0,0,0,0
814,0,,330621,1,47,2,3,,0,,,,80000,100000,0,0,71.3,5000,0,3,2,1,0,3,1,0,0,0,0,0,0
815,0,,332529,0,36,,,,0,,2,,80000,100000,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
816,0,,330621,1,23,,,,0,,,,70000,100000,0,0,1.24,5000,0,1,1,0,0,0,0,0,0,0,0,0,0
817,0,1,330621,1,47,20,61,1,0,9,9,52,300000,100000,3070.98,0,10340.06,20000,0,14,8,1,102,1,1,5,5,0,0,0,0
818,0,,330621,0,35,,,,0,,0,,100000,100000,82146.82,0,777437.21,20000,0,1,1,0,0,0,0,0,0,0,0,0,0
819,0,,330621,1,34,,,,0,,0,,100000,100000,0,0,0.06,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
820,0,,330621,0,40,,,,0,,0,,30000,100000,0,0,6037.65,7000,0,1,1,0,0,0,0,0,0,0,0,0,0
821,0,,330621,1,47,,,,0,,,,0,100000,0,0,1217.85,20000,6160000,8,5,2,556,80,2,1,1,1,10,8,1
822,0,,330621,1,28,,,,0,,1,,300000,100000,0,0,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0
823,0,,330621,0,36,,,,0,,0,,60000,100000,109117.4,0,25401.15,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
824,0,,330621,1,36,,,,0,,,,0,100000,0,0,0.71,5000,41734.05,10,6,0,0,0,0,5,5,0,0,0,0
825,0,,330683,1,27,,,,0,,,,50000,100000,0,0,16.1,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
826,0,,330621,1,45,,,,0,,1,,500000,100000,0,0,72.2,30000,0,3,2,0,0,0,0,2,2,0,0,0,0
827,0,,330623,1,40,,,,0,,2,,150000,100000,0,0,0,20000,0,13,9,3,682,5,1,1,1,0,0,0,0
828,0,1,330621,1,23,10,61,3,0,,0,17,100000,100000,205.2,0,2.65,10000,15579.37,3,2,0,0,0,0,2,2,0,0,0,0
829,0,1,330621,1,38,20,47,,0,,9,,80000,100000,0,0,100000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
830,0,1,330621,1,27,10,90,1,0,,9,66,60000,100000,0,0,3.93,10000,27889.75,8,6,3,1270,5,1,1,1,0,0,0,0
831,0,90,330421,0,32,99,71,1,0,,,,100000,100000,0,0,0,10000,0,8,6,3,2735,3,1,1,1,0,0,0,0
832,0,1,330621,1,27,10,21,1,0,9,9,52,60000,100000,0,0,1.28,5000,5572.13,3,3,1,0,1,1,3,2,1,0,1,1
833,0,,330602,0,32,,,,0,,0,,50000,100000,0,0,41.19,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
834,0,1,330621,0,43,99,71,1,0,,2,,200000,100000,0,0,366.84,20000,0,3,2,1,46,4,1,0,0,0,0,0,0
835,0,,330621,1,25,,,,0,,9,,80000,100000,0,0,0.38,8000,0,4,3,2,149,7,1,0,0,0,0,0,0
836,0,1,330621,1,47,40,71,1,0,0,9,1,200000,100000,0,0,708.79,5000,100000,8,5,2,169,3,1,2,2,0,0,0,0
837,0,1,330621,0,43,99,90,1,0,,0,,40000,100000,2213,0,89.77,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
838,0,,330621,1,28,,,,0,,0,,60000,100000,0,0,704.66,10000,0,3,2,2,0,4,1,0,0,0,0,0,0
839,0,1,330621,1,26,10,21,3,0,,0,15,100000,100000,0,0,80.43,12000,4324.34,5,3,0,0,0,0,1,1,0,0,0,0
840,0,,330621,1,27,,,,0,,0,,200000,100000,0,0,500.5,5000,0,3,2,0,0,0,0,0,0,0,0,0,0
841,0,1,330621,1,42,20,61,1,0,3,2,51,300000,100000,0,0,271.69,20000,600000,3,2,2,3324,13,2,3,2,1,503497,1,1
842,0,,330621,1,29,,,,0,,0,,150000,100000,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
843,0,90,330621,1,42,99,71,1,0,9,9,52,60000,100000,56524,0,57.66,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
844,0,1,330303,0,36,99,90,8,0,9,9,51,150000,100000,0,0,24096.94,20000,0,7,6,1,0,1,1,1,1,0,0,0,0
845,0,,330621,0,40,,,,0,,2,,150000,100000,0,0,474.05,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
846,0,,332627,1,45,,,,0,,,,250000,100000,0,0,28386.93,37000,0,0,0,0,0,0,0,0,0,0,0,0,0
847,0,,330621,0,45,2,3,,0,,0,,50000,100000,59522.14,0,6253.55,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
848,0,1,330621,1,23,10,31,1,0,9,9,51,80000,100000,0,0,4.33,10000,10645.67,16,5,6,2275,11,1,3,3,0,0,0,0
849,0,1,330621,1,55,20,31,1,68636,3,1,29,150,100000,48635.86,0,18695.47,20000,500000,4,3,3,5695,21,3,1,1,0,0,0,0
850,0,,511028,0,39,,,,0,,0,,80000,100000,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0
851,0,1,330621,1,40,20,21,1,0,9,1,41,1000000,100000,0,0,62.61,30000,900000,12,8,6,13736,8,2,4,4,4,5624,7,1
852,0,,610431,0,28,,,,0,,,,40000,100000,0,0,19.61,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
853,0,1,330621,1,31,10,21,1,0,9,9,35,100000,100000,0,0,9189.98,10000,0,2,2,0,0,0,0,0,0,0,0,0,0
854,0,1,330621,1,45,20,71,1,0,9,2,51,120000,100000,0,0,560.5,10000,2480000,11,10,0,0,0,0,9,7,0,0,0,0
855,0,1,330681,0,33,20,41,1,0,2,0,,90000,100000,84241.96,0,3776.92,20000,0,7,5,1,604,4,1,6,1,0,0,0,0
856,0,,430424,1,41,,,,0,,2,,500000,100000,0,0,1220.69,20000,0,6,4,0,0,0,0,2,2,1,0,1,1
857,0,,339005,1,22,,,,0,,9,,84000,100000,0,0,0.19,5000,0,1,1,0,0,0,0,0,0,0,0,0,0
858,0,1,330621,1,30,20,31,1,0,9,9,17,100000,100000,0,0,48292.6,15000,0,4,4,1,12,2,2,2,2,0,0,0,0
859,0,1,330621,1,27,99,90,1,0,,0,,200000,100000,27182.2,0,1.52,10000,0,7,5,1,0,1,1,0,0,0,0,0,0
860,0,,330621,0,44,,,,0,,2,,200000,100000,0,0,51723.8,20000,0,7,4,0,0,0,0,0,0,0,0,0,0
861,0,,330602,0,35,,,,0,,0,,80000,100000,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
862,0,,330621,1,24,,,,0,,0,,60000,100000,37357,0,0.14,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
863,0,,330621,1,28,,,,0,,9,,80000,100000,0,0,21759.36,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
864,0,1,330621,1,42,20,31,1,68630,9,1,52,250000,100000,0,0,1426.56,20000,900000,2,2,1,57,1,1,2,2,2,1637979,21,7
865,0,1,330621,1,40,20,61,,68627,3,0,,50000,100000,0,0,804.98,16000,0,0,0,0,0,0,0,0,0,0,0,0,0
866,0,1,330621,1,50,20,61,1,0,0,2,51,200000,100000,0,0,482.32,10000,0,10,8,1,10,3,1,2,1,0,0,0,0
867,0,,330621,0,24,,,,0,,0,,30000,100000,0,0,8.98,3500,0,4,3,0,0,0,0,0,0,0,0,0,0
868,0,90,330683,0,26,10,41,5,0,,0,,200000,100000,0,0,297.69,5000,31228.41,5,3,0,0,0,0,2,2,0,0,0,0
869,0,,230119,1,39,,,,0,,0,,200000,100000,0,0,3.78,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
870,0,,330602,0,23,,,,0,,0,,50000,100000,0,0,0,5000,0,8,6,0,0,0,0,0,0,0,0,0,0
871,0,1,220821,1,33,10,61,5,0,9,9,,410880,100000,0,0,1239.79,10000,0,5,3,2,0,2,1,2,2,0,0,0,0
872,0,1,330621,1,31,99,9,1,0,,0,,100000,100000,45214,0,2317.26,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
873,0,,330621,1,31,,,,0,,2,,150000,100000,0,0,0,10000,0,5,4,2,200,14,1,1,1,0,0,0,0
874,0,1,330621,1,43,20,71,,68623,,2,,200000,100000,0,0,0,13000,0,1,1,0,0,0,0,0,0,0,0,0,0
875,0,,330621,0,30,,,,0,,2,,500000,100000,0,0,69042.48,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
876,0,1,330621,0,40,99,9,1,0,9,2,50,60000,100000,0,0,342117.32,20000,0,10,5,2,175,4,1,0,0,0,0,0,0
877,0,,330621,1,30,2,,,0,,0,,80000,100000,0,0,912.72,12000,0,8,6,1,254,1,1,1,1,0,0,0,0
878,0,,330621,1,29,,,,0,,0,,150000,100000,0,0,5.02,8000,0,1,1,0,0,0,0,0,0,0,0,0,0
879,0,1,330621,1,27,99,90,1,0,,0,,50000,100000,28350,0,63189.09,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
880,0,,330621,1,31,,,,0,,0,,40000,100000,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
881,0,1,330621,1,30,99,71,1,0,9,9,51,150000,100000,0,0,0.13,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
882,0,,330621,1,27,,,,0,,9,,50000,100000,0,0,8.7,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
883,0,1,330621,1,34,99,9,1,0,,0,,100000,100000,19327,0,4409.23,10000,0,3,2,0,0,0,0,0,0,0,0,0,0
884,0,,330621,0,28,,,,0,,,,60000,100000,0,0,42520.02,10000,0,3,2,0,0,0,0,0,0,0,0,0,0
885,0,,330621,0,32,,,,0,,0,,60000,100000,0,0,4.37,15000,0,0,0,0,0,0,0,0,0,0,0,0,0
886,0,,330621,1,33,,,,0,,1,,200000,100000,0,0,0,10000,0,2,2,0,0,0,0,0,0,0,0,0,0
887,0,,332527,0,39,,,,0,,2,,150000,100000,0,0,214827.06,8000,0,0,0,0,0,0,0,0,0,0,0,0,0
888,0,1,410727,1,61,9,9,,0,,,,0,100000,0,0,7107.4,30000,0,10,7,7,4747,19,1,2,2,1,11493,1,1
889,0,,330624,0,58,,,,0,,0,,80000,100000,0,0,426.81,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
890,0,1,330621,1,28,99,90,1,0,,,,5,100000,0,0,0.05,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
891,0,1,330621,1,41,20,21,1,0,9,9,,100000,100000,0,0,10.82,30000,352262.91,0,0,0,0,0,0,0,0,0,0,0,0
892,0,1,330621,1,41,20,61,1,0,0,9,50,100000,100000,0,0,2116.21,20000,300000,14,9,2,120,4,1,3,3,0,0,0,0
893,0,,522530,1,29,,,,0,,0,,90000,100000,0,0,94.14,3000,0,3,3,0,0,0,0,1,1,0,0,0,0
894,0,1,330621,1,25,99,9,1,0,,0,,40000,100000,0,0,25.76,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
895,0,,330124,1,31,,,,0,,1,,200000,100000,0,0,0.94,20000,0,0,0,0,0,0,0,1,1,0,0,0,0
